carrion_code	weight_kg	vulture	top_pred	cons_rate	sub_region	region	type	type_reg	FR3	FR4	FR2	FR5	FR6	FR1	FR	FRic	FDis	tax.ric	abun	bio	mobility_aerial	mobility_terrestrial	social_solitary	social_group	social_social	range	migrant_no	migrant_yes	scavenger_facultative	scavenger_obligate	predator_non_pred	predator_meso_pred	predator_top_pred	diet_carnivorous	diet_omnivorous	body_mass	fecundity	longevity	activity_both	activity_diurnal	activity_nocturnal	sight_high	sight_low	smell_high	smell_low
C001	100	1	1	2.23	HiP	saf	PVF	PVF-S	82.5	0	2.65	0	136	1.1	55.5625	0.289451056	0.177609413	5	21	222.25	0.38807649	0.61192351	0.008998875	0.619797525	0.3712036	2.978177728	0.997075366	0.002924634	0.6287964	0.3712036	0.3712036	0.016872891	0.61192351	0.995050619	0.004949381	43.67503937	2.65151856	32.66591676	0.61192351	0.38807649	0	1	0	0.61192351	0.38807649
C002	354	1	1	1.66	HiP	saf	PVF	PVF-S	172.5	0	0	0	204	2.2	126.2333333	0.302978584	0.185852546	4	38	378.7	0.461315025	0.538684975	0.034327964	0.544494323	0.421177713	2.988381304	1	0	0.544494323	0.455505677	0.455505677	0.005809348	0.538684975	0.994190652	0.005809348	39.17338262	2.567731714	31.53762873	0.538684975	0.461315025	0	1	0	0.538684975	0.461315025
C003	433	1	1	2.92	HiP	saf	PVF	PVF-S	120.5	0	0	0	272	1.1	131.2	0.303757901	0.161814318	5	28	393.6	0.308943089	0.691056911	0.026676829	0.693851626	0.279471545	2.994410569	1	0	0.693851626	0.306148374	0.306148374	0.002794715	0.691056911	0.997205285	0.002794715	48.67849339	2.694867886	34.73678862	0.691056911	0.308943089	0	1	0	0.691056911	0.308943089
C006	55	1	0	1.02	Mkhuze	saf	VF	VF-S	33	0	0	0	204	0	118.5	0.000487038	0.090255275	2	9	237	0.139240506	0.860759494	0	0.860759494	0.139240506	3	1	0	0.860759494	0.139240506	0.139240506	0	0.860759494	1	0	59.29746835	2.860759494	37.93670886	0.860759494	0.139240506	0	1	0	0.860759494	0.139240506
C008	40	1	0	2.37	Mkhuze	saf	VF	VF-S	0	0	0	0	68	0	68	0.000487038	0	1	1	68	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	68	3	41	1	0	0	1	0	1	0
C009	120	1	0	2.17	Mkhuze	saf	VF	VF-S	0	142	0	0	183	0	162.5	0.000561154	0.178068708	3	5	325	0	1	0.144615385	0.855384615	0	2.126153846	1	0	1	0	0.436923077	0	0.563076923	0.563076923	0.436923077	66.27384615	6.492307692	30.67384615	0.418461538	0	0.581538462	0.563076923	0.436923077	1	0
C011	290	1	1	0.78	HiP	saf	PVF	PVF-S	53.5	0	0.65	0	635	0	229.7166667	0.192032939	0.129156215	6	18	689.15	0.078575056	0.921424944	0.074004208	0.854168178	0.071827614	2.999056809	0.999056809	0.000943191	0.922368135	0.077631865	0.077631865	0.000943191	0.921424944	1	0	102.911808	4.497714576	32.01784807	0.853224987	0.078575056	0.068199956	1	0	0.921424944	0.078575056
C013	50	1	0	2.3	Mkhuze	saf	VF	VF-S	0	0	0	0	68	0	68	0.000487038	0	1	1	68	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	68	3	41	1	0	0	1	0	1	0
C014	48	1	0	0.52	Mkhuze	saf	VF	VF-S	0	213	0	0	68	0	140.5	0.000487038	0.128666681	2	4	281	0	1	0	1	0	1.483985765	1	0	1	0	0.758007117	0	0.241992883	0.241992883	0.758007117	70.27402135	8.306049822	26.59786477	0.241992883	0	0.758007117	0.241992883	0.758007117	1	0
C015	90	1	0	0.58	Mkhuze	saf	VF	VF-S	137	0	0	7	68	0	70.66666667	0.323976705	0.171370544	5	27	212	0.646226415	0.353773585	0.08254717	0.320754717	0.596698113	2.966981132	1	0	0.353773585	0.646226415	0.646226415	0.033018868	0.320754717	0.966981132	0.033018868	25.5990566	2.433962264	26.94811321	0.353773585	0.646226415	0	1	0	0.353773585	0.646226415
C022	40	1	0	1.89	Mkhuze	saf	VF	VF-S	289.5	0	2	9	136	0	109.125	0.360740533	0.168421379	7	56	436.5	0.667812142	0.332187858	0.064146621	0.311569301	0.624284078	2.974799542	1	0	0.336769759	0.663230241	0.663230241	0.025200458	0.311569301	0.979381443	0.020618557	25.10366552	2.389461627	26.60595647	0.311569301	0.667812142	0.020618557	1	0	0.332187858	0.667812142
C023	55	1	0	0.51	Mkhuze	saf	VF	VF-S	289	0	0	0	68	1.1	119.3666667	0.302978584	0.117791083	4	55	358.1	0.810108908	0.189891092	0.054454063	0.19296286	0.752583077	2.993856465	1	0	0.19296286	0.80703714	0.80703714	0.003071768	0.189891092	0.996928232	0.003071768	17.40744206	2.20524993	24.26668528	0.189891092	0.810108908	0	1	0	0.189891092	0.810108908
C024	40	1	0	1.72	Mkhuze	saf	VF	VF-S	82.5	0	2	0	0	0	42.25	0.000487038	0.010737749	2	16	84.5	1	0	0.023668639	0	0.976331361	2.976331361	1	0	0.023668639	0.976331361	0.976331361	0.023668639	0	1	0	5.417159763	2.023668639	19.49704142	0	1	0	1	0	0	1
C025	40	1	0	0.26	Mkhuze	saf	VF	VF-S	254	0	2	4	0	0	86.66666667	0.081677071	0.021551541	4	48	260	0.984615385	0.015384615	0.048076923	0	0.951923077	2.961538462	1	0	0.023076923	0.976923077	0.976923077	0.023076923	0	0.984615385	0.015384615	5.475	2.038461538	19.58461538	0	0.984615385	0.015384615	1	0	0.015384615	0.984615385
C026	55	1	1	0.38	HiP	saf	PVF	PVF-S	288	0	0	0	204	0.55	164.1833333	0.302978584	0.180149783	4	56	492.55	0.58582885	0.41417115	0.02639326	0.415287788	0.558318952	2.997766724	1	0	0.415287788	0.584712212	0.584712212	0.001116638	0.41417115	0.998883362	0.001116638	31.40656279	2.41975434	28.63963049	0.41417115	0.58582885	0	1	0	0.41417115	0.58582885
C028	55	1	1	0.88	HiP	saf	PVF	PVF-S	99	0	0	0	68	0	83.5	0.000487038	0.181775917	2	19	167	0.592814371	0.407185629	0	0.407185629	0.592814371	3	1	0	0.407185629	0.592814371	0.592814371	0	0.407185629	1	0	30.9491018	2.407185629	27.95808383	0.407185629	0.592814371	0	1	0	0.407185629	0.592814371
C029	40	1	1	0.61	HiP	saf	PVF	PVF-S	148.5	0	2	0	68	0.55	54.7625	0.289451056	0.162183464	4	30	219.05	0.689568592	0.310431408	0.009130336	0.312942251	0.677927414	2.98584798	1	0	0.322072586	0.677927414	0.677927414	0.011641178	0.310431408	0.997489158	0.002510842	24.85757818	2.332115955	26.02122803	0.310431408	0.689568592	0	1	0	0.310431408	0.689568592
C030	48	1	0	0.23	Mkhuze	saf	VF	VF-S	0	213	0	4	136	0	117.6666667	0.056584731	0.1669219	3	7	353	0	1	0.011331445	0.988668555	0	1.770538244	1	0	1	0	0.603399433	0.011331445	0.385269122	0.385269122	0.614730878	69.06232295	7.235127479	29.30878187	0.385269122	0	0.614730878	0.396600567	0.603399433	1	0
C031	48	1	0	0.2	Mkhuze	saf	VF	VF-S	0	142	0	0	0	0	142	0.000487038	0	1	2	142	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	71	10	22	0	0	1	0	1	1	0
C032	110	1	1	0.95	HiP	saf	PVF	PVF-S	2	0	0	0	926	0	464	0.042681966	0.051405432	3	8	928	0.002155172	0.997844828	0.002155172	0.997844828	0	3	1	0	0.997844828	0.002155172	0.002155172	0	0.997844828	1	0	144.4741379	5.549568966	29.07327586	0.997844828	0.002155172	0	1	0	0.997844828	0.002155172
C033	120	1	1	4.05	HiP	saf	PVF	PVF-S	77	0	0.65	0	790	0	289.2166667	0.056944261	0.069959476	3	20	867.65	0.089494612	0.910505388	0	0.911254538	0.088745462	2.99925085	0.99925085	0.00074915	0.911254538	0.088745462	0.088745462	0.00074915	0.910505388	1	0	144.3484383	5.643519852	26.28778885	0.910505388	0.089494612	0	1	0	0.910505388	0.089494612
C036	55	1	0	1.05	Mkhuze	saf	VF	VF-S	148	142	2	0	68	0	90	0.520059988	0.259757643	6	31	360	0.416666667	0.583333333	0.034722222	0.583333333	0.381944444	2.205555556	1	0	0.588888889	0.411111111	0.805555556	0.005555556	0.188888889	0.605555556	0.394444444	43.12361111	5.338888889	25.03888889	0.188888889	0.416666667	0.394444444	0.605555556	0.394444444	0.583333333	0.416666667
C037	55	1	0	0.29	Mkhuze	saf	VF	VF-S	182	0	6	0	68	0	85.33333333	0.062289344	0.148336427	5	37	256	0.734375	0.265625	0.08984375	0.265625	0.64453125	2.9765625	1	0	0.2890625	0.7109375	0.7109375	0.0234375	0.265625	1	0	22.046875	2.2734375	26.6640625	0.265625	0.734375	0	1	0	0.265625	0.734375
C039	650	1	1	3.17	HiP	saf	PVF	PVF-S	0	0	0	0	542	0	542	0.000487038	0.044286398	2	4	542	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	146.7084871	5.623616236	28.75645756	1	0	0	1	0	1	0
C041	40	1	0	0.49	Mkhuze	saf	VF	VF-S	148.5	0	6	0	68	0	74.16666667	0.047982499	0.162377399	3	31	222.5	0.694382022	0.305617978	0.026966292	0.305617978	0.66741573	2.973033708	1	0	0.33258427	0.66741573	0.66741573	0.026966292	0.305617978	1	0	24.50674157	2.33258427	26.28988764	0.305617978	0.694382022	0	1	0	0.305617978	0.694382022
C042	90	1	1	0.61	HiP	saf	PVF	PVF-S	0	0	0	0	632	0	632	0.000487038	0	1	4	632	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	158	6	27	1	0	0	1	0	1	0
C043	40	1	1	0.3	HiP	saf	PVF	PVF-S	0	0	0	0	68	0	68	0.000487038	0	1	1	68	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	68	3	41	1	0	0	1	0	1	0
C044	65	1	1	0.52	HiP	saf	PVF	PVF-S	0	0	0	0	226	0	226	0.000487038	0.084904517	2	2	226	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	130.920354	5.097345133	31.21238938	1	0	0	1	0	1	0
C045	225	1	0	0.61	Mkhuze	saf	VF	VF-S	0	71	0	0	183	0	127	0.000561154	0.160862359	3	4	254	0	1	0.18503937	0.81496063	0	2.440944882	1	0	1	0	0.279527559	0	0.720472441	0.720472441	0.279527559	64.95275591	5.511811024	33.0984252	0.535433071	0	0.464566929	0.720472441	0.279527559	1	0
C048	65	1	1	0.68	HiP	saf	PVF	PVF-S	0	0	2	0	204	0	103	0.000487038	0.005114351	2	4	206	0.009708738	0.990291262	0.009708738	0.990291262	0	2.990291262	1	0	1	0	0	0.009708738	0.990291262	1	0	67.3592233	3	40.99029126	0.990291262	0.009708738	0	1	0	0.990291262	0.009708738
C049	55	1	0	0.68	Mkhuze	saf	VF	VF-S	0	0	0	0	47	0	47	0.000487038	0	1	1	47	0	1	1	0	0	3	1	0	1	0	0	0	1	1	0	47	6	27	0	0	1	1	0	1	0
C051	65	1	1	0.51	HiP	saf	PVF	PVF-S	0	0	0	0	226	0	226	0.000487038	0.084904517	2	2	226	0	1	0	1	0	3	1	0	1	0	0	0	1	1	0	130.920354	5.097345133	31.21238938	1	0	0	1	0	1	0
C052	55	1	1	2.34	HiP	saf	PVF	PVF-S	245.5	0	0	0	68	0	156.75	0.014306845	0.129400757	4	46	313.5	0.783094099	0.216905901	0.046251994	0.216905901	0.736842105	3	1	0	0.216905901	0.783094099	0.783094099	0	0.216905901	1	0	19.03907496	2.19138756	24.6969697	0.216905901	0.783094099	0	1	0	0.216905901	0.783094099
C054	55	1	0	0.23	Mkhuze	saf	VF	VF-S	285	213	0	2	136	2.2	127.64	0.663685994	0.252782185	7	61	638.2	0.450015669	0.549984331	0.070510812	0.550297712	0.379191476	2.319335631	1	0	0.553431526	0.446568474	0.780319649	0.006581009	0.213099342	0.659667816	0.340332184	40.70308681	4.90034472	26.04324663	0.213099342	0.450015669	0.336884989	0.666248825	0.333751175	0.549984331	0.450015669
C055	55	1	0	0.89	Mkhuze	saf	VF	VF-S	0	0	0	18	256	0	137	0.020839634	0.084746853	3	7	274	0	1	0.065693431	0.934306569	0	2.934306569	1	0	1	0	0	0.065693431	0.934306569	0.934306569	0.065693431	56.15328467	6.613138686	34.60583942	0.744525547	0	0.255474453	1	0	1	0
CC01	95	1	1	2.086	CC	ibe	PVF	PVF-M	425	0	4	0	0	0	214.5	0.000487038	0.005785786	2	51	429	1	0	0.009324009	0	0.990675991	3.981351981	1	0	0.009324009	0.990675991	0.990675991	0	0.009324009	1	0	8.458041958	1.018648019	40.07459207	0	1	0	1	0	0	1
CC02	104	1	1	0.625	CC	ibe	PVF	PVF-M	34	105.96	4	0	60	0	50.99	0.18843445	0.180460661	4	9	203.96	0.186311041	0.813688959	0.019611689	0.813688959	0.166699353	2.627574034	1	0	0.833300647	0.166699353	0.166699353	0.51951363	0.313787017	0.48048637	0.51951363	37.84448323	7.842910375	27.51970975	0	0.186311041	0.813688959	0.48048637	0.51951363	0.813688959	0.186311041
CC03	60	1	1	0.321	CC	ibe	PVF	PVF-M	0	370.86	0	6	30	0	135.62	0.019735787	0.024201951	3	9	406.86	0	1	0.014747087	0.985252913	0	2.073735437	1	0	1	0	0	0.926264563	0.073735437	0.073735437	0.926264563	50.59274148	9.1179767	26.39536941	0.014747087	0	0.985252913	0.088482525	0.911517475	1	0
